benchmark,run,result
sum-of-cubes,baseline,8
sum-of-cubes,lvn,8
gebmm,baseline,3011
gebmm,lvn,3011
mod_inv,baseline,558
mod_inv,lvn,558
delannoy,baseline,5748752
delannoy,lvn,5748752
fizz-buzz,baseline,3652
fizz-buzz,lvn,3652
mccarthy91,baseline,1385
mccarthy91,lvn,1385
orders,baseline,5352
orders,lvn,5352
hanoi,baseline,99
hanoi,lvn,99
sum-to-ten,baseline,143
sum-to-ten,lvn,143
rot13,baseline,8
rot13,lvn,8
sum-digits,baseline,219
sum-digits,lvn,219
pythagorean_triple,baseline,61518
pythagorean_triple,lvn,61518
fact,baseline,229
fact,lvn,229
check-primes,baseline,8468
check-primes,lvn,8468
totient,baseline,253
totient,lvn,253
mod_pow,baseline,243
mod_pow,lvn,243
lcm,baseline,2326
lcm,lvn,2326
reverse,baseline,46
reverse,lvn,46
bin-search,baseline,358
bin-search,lvn,358
binary-fmt,baseline,100
binary-fmt,lvn,100
sum-sq-diff,baseline,3038
sum-sq-diff,lvn,3038
relative-primes,baseline,1923
relative-primes,lvn,1923
fib_recursive,baseline,2693
fib_recursive,lvn,2693
combination,baseline,178
combination,lvn,178
sum-bits,baseline,73
sum-bits,lvn,73
pascals-row,baseline,146
pascals-row,lvn,146
palindrome,baseline,298
palindrome,lvn,298
sum-check,baseline,5018
sum-check,lvn,5018
bitshift,baseline,167
bitshift,lvn,167
rectangles-area-difference,baseline,14
rectangles-area-difference,lvn,14
factors,baseline,72
factors,lvn,72
bbs,baseline,137
bbs,lvn,137
geometric-sum,baseline,35
geometric-sum,lvn,35
karatsuba,baseline,1548
karatsuba,lvn,1548
euclid,baseline,563
euclid,lvn,563
quadratic,baseline,785
quadratic,lvn,785
digital-root,baseline,247
digital-root,lvn,247
hamming,baseline,117
hamming,lvn,117
systolic,baseline,527
systolic,lvn,527
is-decreasing,baseline,127
is-decreasing,lvn,127
recfact,baseline,104
recfact,lvn,104
gcd,baseline,46
gcd,lvn,46
fitsinside,baseline,10
fitsinside,lvn,10
armstrong,baseline,133
armstrong,lvn,133
bitwise-ops,baseline,1690
bitwise-ops,lvn,1690
catalan,baseline,659378
catalan,lvn,659378
primes-between,baseline,574100
primes-between,lvn,574100
sqrt_bin_search,baseline,744
sqrt_bin_search,lvn,744
loopfact,baseline,116
loopfact,lvn,116
sum-divisors,baseline,159
sum-divisors,lvn,159
up-arrow,baseline,252
up-arrow,lvn,252
perfect,baseline,232
perfect,lvn,232
binpow,baseline,105
binpow,lvn,105
permutation,baseline,130
permutation,lvn,130
collatz,baseline,169
collatz,lvn,169
dayofweek,baseline,269
dayofweek,lvn,269
add,baseline,4
add,lvn,4
ackermann,baseline,1464231
ackermann,lvn,1464231
montgomery,baseline,17
montgomery,lvn,17
