benchmark,run,result
sum-of-cubes,baseline,8
sum-of-cubes,myopt,incorrect
gebmm,baseline,3011
gebmm,myopt,3011
mod_inv,baseline,558
mod_inv,myopt,incorrect
delannoy,baseline,5748752
delannoy,myopt,incorrect
fizz-buzz,baseline,3652
fizz-buzz,myopt,incorrect
mccarthy91,baseline,1385
mccarthy91,myopt,1385
orders,baseline,5352
orders,myopt,incorrect
hanoi,baseline,99
hanoi,myopt,incorrect
sum-to-ten,baseline,143
sum-to-ten,myopt,incorrect
rot13,baseline,8
rot13,myopt,8
sum-digits,baseline,219
sum-digits,myopt,incorrect
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,incorrect
fact,baseline,229
fact,myopt,incorrect
check-primes,baseline,8468
check-primes,myopt,incorrect
totient,baseline,253
totient,myopt,incorrect
mod_pow,baseline,243
mod_pow,myopt,incorrect
lcm,baseline,2326
lcm,myopt,incorrect
reverse,baseline,46
reverse,myopt,incorrect
bin-search,baseline,358
bin-search,myopt,incorrect
binary-fmt,baseline,100
binary-fmt,myopt,100
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,incorrect
relative-primes,baseline,1923
relative-primes,myopt,incorrect
fib_recursive,baseline,2693
fib_recursive,myopt,incorrect
combination,baseline,178
combination,myopt,178
sum-bits,baseline,73
sum-bits,myopt,incorrect
pascals-row,baseline,146
pascals-row,myopt,incorrect
palindrome,baseline,298
palindrome,myopt,incorrect
sum-check,baseline,5018
sum-check,myopt,5012
bitshift,baseline,167
bitshift,myopt,incorrect
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,14
factors,baseline,72
factors,myopt,72
bbs,baseline,137
bbs,myopt,137
geometric-sum,baseline,35
geometric-sum,myopt,35
karatsuba,baseline,1548
karatsuba,myopt,incorrect
euclid,baseline,563
euclid,myopt,incorrect
quadratic,baseline,785
quadratic,myopt,incorrect
digital-root,baseline,247
digital-root,myopt,247
hamming,baseline,117
hamming,myopt,incorrect
systolic,baseline,527
systolic,myopt,incorrect
is-decreasing,baseline,127
is-decreasing,myopt,incorrect
recfact,baseline,104
recfact,myopt,incorrect
gcd,baseline,46
gcd,myopt,46
fitsinside,baseline,10
fitsinside,myopt,10
armstrong,baseline,133
armstrong,myopt,incorrect
bitwise-ops,baseline,1690
bitwise-ops,myopt,incorrect
catalan,baseline,659378
catalan,myopt,incorrect
primes-between,baseline,574100
primes-between,myopt,574100
sqrt_bin_search,baseline,744
sqrt_bin_search,myopt,incorrect
loopfact,baseline,116
loopfact,myopt,incorrect
sum-divisors,baseline,159
sum-divisors,myopt,159
up-arrow,baseline,252
up-arrow,myopt,252
perfect,baseline,232
perfect,myopt,incorrect
binpow,baseline,105
binpow,myopt,105
permutation,baseline,130
permutation,myopt,incorrect
collatz,baseline,169
collatz,myopt,incorrect
dayofweek,baseline,269
dayofweek,myopt,incorrect
add,baseline,4
add,myopt,4
ackermann,baseline,1464231
ackermann,myopt,1464231
montgomery,baseline,17
montgomery,myopt,17
